"trial_type","trial_index","time_elapsed","rt","responses","name","stimulus","stimulus_block","stimulus_side","key_press","time_post_trial","is_fullscreen","trial_began","os","browser","mobile","screen_size","block","sub_block"
"bRMS","33","61116","76.19999980926514","","","images/rms/f42887_e_001.jpg","training_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","34","61740","54.80000019073486","","","images/rms/f42887_e_001.jpg","training_where","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","35","62342","46.59999942779541","","","images/rms/f42887_e_001.jpg","training_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","36","62980","61.79999923706055","","","images/rms/df42887_e_001.jpg","training_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","37","63561","44.40000057220459","","","images/rms/f42887_e_001.jpg","training_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","38","64173","57.10000038146973","","","images/rms/df42887_e_001.jpg","training_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","39","64772","53.5","","","images/rms/df42887_e_001.jpg","training_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"instructions","40","70721","5546","","","","","","","","","","","","","","",""
"bRMS","41","71903","1074.4000005722046","","","images/rms/f42887_e_141.jpg","main_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","42","72550","50.80000019073486","","","images/rms/df42887_e_059.jpg","reversed_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","43","73170","59.19999980926514","","","images/rms/f42887_e_002.jpg","main_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","44","73821","128.80000019073486","","","images/rms/f42887_e_059.jpg","main_where","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","45","74438","71.30000019073486","","","images/rms/df42887_e_128.jpg","reversed_where","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","46","75274","296.4000005722046","","","images/rms/df42887_e_104.jpg","reversed_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","47","75876","70.69999980926514","","","images/rms/f42887_e_065.jpg","main_where","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","48","76491","49.90000057220459","","","images/rms/f42887_e_104.jpg","main_where","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","49","77150","55.59999942779541","","","images/rms/f42887_e_157.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","50","77751","76.90000057220459","","","images/rms/df42887_e_026.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","51","78552","254.69999980926514","","","images/rms/f42887_e_029.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","52","79165","53","","","images/rms/f42887_e_242.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","53","79793","58.69999980926514","","","images/rms/df42887_e_029.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","54","80387","56","","","images/rms/f42887_e_128.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","55","81022","87.30000019073486","","","images/rms/df42887_e_157.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","56","81728","79.10000038146973","","","images/rms/f42887_e_081.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","57","82380","66.39999961853027","","","images/rms/f42887_e_203.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","58","83043","98.80000019073486","","","images/rms/f42887_e_260.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","59","83678","117.90000057220459","","","images/rms/df42887_e_016.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","60","84328","64.89999961853027","","","images/rms/df42887_e_054.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","61","84987","67.89999961853027","","","images/rms/f42887_e_290.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","62","85548","41.29999923706055","","","images/rms/f42887_e_007.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","63","86196","79.10000038146973","","","images/rms/df42887_e_203.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","64","86822","69.80000019073486","","","images/rms/df42887_e_294.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","65","87383","46.59999942779541","","","images/rms/df42887_e_003.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","66","88309","373.6000003814697","","","images/rms/f42887_e_099.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","67","89122","294.69999980926514","","","images/rms/f42887_e_279.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","68","89737","104.89999961853027","","","images/rms/df42887_e_242.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","69","90405","97.89999961853027","","","images/rms/df42887_e_290.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","70","90973","55","","","images/rms/f42887_e_016.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","71","91523","47.19999980926514","","","images/rms/df42887_e_065.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","72","92169","62.5","","","images/rms/df42887_e_253.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","73","92785","95","","","images/rms/df42887_e_008.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","74","93343","41","","","images/rms/df42887_e_181.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","75","94015","72.59999942779541","","","images/rms/df42887_e_279.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","76","94781","247.10000038146973","","","images/rms/df42887_e_260.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","77","95454","167.30000019073486","","","images/rms/df42887_e_162.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","78","96200","59","","","images/rms/f42887_e_259.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","79","97407","74.09999942779541","","","images/rms/f42887_e_181.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","80","97976","67.5","","","images/rms/df42887_e_004.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","81","98662","97.19999980926514","","","images/rms/f42887_e_122.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","82","99242","58.89999961853027","","","images/rms/df42887_e_141.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","83","99809","62.90000057220459","","","images/rms/df42887_e_246.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","84","101045","694.5999994277954","","","images/rms/df42887_e_006.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","85","101691","68.09999942779541","","","images/rms/f42887_e_073.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","86","102277","67.90000057220459","","","images/rms/f42887_e_246.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","87","102916","94","","","images/rms/df42887_e_081.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","88","103537","56.40000057220459","","","images/rms/f42887_e_008.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","89","104159","70.89999961853027","","","images/rms/df42887_e_002.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","90","104786","48.70000076293945","","","images/rms/f42887_e_294.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","91","105373","59.60000038146973","","","images/rms/df42887_e_073.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","92","106199","258.6000003814697","","","images/rms/f42887_e_004.jpg","main_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","93","107044","311.5","","","images/rms/df42887_e_122.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","94","107653","115.79999923706055","","","images/rms/f42887_e_054.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","95","108257","39.89999961853027","","","images/rms/df42887_e_099.jpg","reversed_where","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","96","108902","110.19999980926514","","","images/rms/f42887_e_006.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","97","109462","57.59999942779541","","","images/rms/df42887_e_007.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","98","110076","54.69999980926514","","","images/rms/df42887_e_259.jpg","reversed_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","99","111212","604.6000003814697","","","images/rms/f42887_e_253.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","100","111975","78.5","","","images/rms/f42887_e_003.jpg","main_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","101","122412","-1","","","images/rms/f42887_e_162.jpg","main_where","0","-1","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","102","132846","-1","","","images/rms/f42887_e_026.jpg","main_where","0","-1","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"instructions","103","141324","8063","","","","","","","","","","","","","","",""
"bRMS","104","142787","1319.8000001907349","","","images/rms/f42887_e_001.jpg","training_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","105","143378","66.10000038146973","","","images/rms/df42887_e_001.jpg","training_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","106","143934","48.60000038146973","","","images/rms/df42887_e_001.jpg","training_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","107","144915","465.19999980926514","","","images/rms/f42887_e_001.jpg","training_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","108","145489","44.59999942779541","","","images/rms/f42887_e_001.jpg","training_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","109","146095","44.10000038146973","","","images/rms/f42887_e_001.jpg","training_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","110","146745","102.70000076293945","","","images/rms/df42887_e_001.jpg","training_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","111","147316","43.39999961853027","","","images/rms/f42887_e_001.jpg","training_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","112","147886","46.90000057220459","","","images/rms/df42887_e_001.jpg","training_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","113","148458","41.29999923706055","","","images/rms/df42887_e_001.jpg","training_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"instructions","114","173474","24611","","","","","","","","","","","","","","",""
"bRMS","115","175371","1763","","","images/rms/f42887_e_002.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","116","175949","62.39999961853027","","","images/rms/df42887_e_007.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","117","176564","64.19999980926514","","","images/rms/f42887_e_004.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","118","177154","44","","","images/rms/df42887_e_029.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","119","177725","54.09999942779541","","","images/rms/df42887_e_081.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","120","178354","57.19999980926514","","","images/rms/f42887_e_242.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","121","178980","126.89999961853027","","","images/rms/df42887_e_290.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","122","179569","55.59999942779541","","","images/rms/f42887_e_294.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","123","180140","53.19999980926514","","","images/rms/f42887_e_081.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","124","180723","50.10000038146973","","","images/rms/f42887_e_279.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","125","181318","50.39999961853027","","","images/rms/f42887_e_290.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","126","181883","51.10000038146973","","","images/rms/df42887_e_279.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","127","182506","95.39999961853027","","","images/rms/df42887_e_246.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","128","183112","64","","","images/rms/f42887_e_099.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","129","183711","64","","","images/rms/f42887_e_162.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","130","184339","43.10000038146973","","","images/rms/df42887_e_003.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","131","184980","121.30000019073486","","","images/rms/f42887_e_157.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","132","185627","147.19999980926514","","","images/rms/df42887_e_253.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","133","186205","65.80000019073486","","","images/rms/df42887_e_157.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","134","186793","48.59999942779541","","","images/rms/f42887_e_122.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","135","187412","47.19999980926514","","","images/rms/df42887_e_181.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","136","188114","80.09999942779541","","","images/rms/df42887_e_008.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","137","188697","52.19999980926514","","","images/rms/f42887_e_128.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","138","189344","50.79999923706055","","","images/rms/df42887_e_141.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","139","189928","58.69999980926514","","","images/rms/f42887_e_260.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","140","193778","3330.2999992370605","","","images/rms/df42887_e_203.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","141","194449","76.69999980926514","","","images/rms/df42887_e_128.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","142","195102","116.10000038146973","","","images/rms/df42887_e_026.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","143","195712","40.80000019073486","","","images/rms/f42887_e_203.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","144","196355","122.80000019073486","","","images/rms/df42887_e_260.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","145","196955","58.40000057220459","","","images/rms/f42887_e_007.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","146","197606","139.39999961853027","","","images/rms/df42887_e_242.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","147","198180","52.60000038146973","","","images/rms/f42887_e_253.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","148","198801","90.19999980926514","","","images/rms/f42887_e_026.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","149","199395","58.10000038146973","","","images/rms/f42887_e_065.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","150","200013","107.80000019073486","","","images/rms/df42887_e_259.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","151","200660","107.90000057220459","","","images/rms/df42887_e_294.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","152","201263","59.5","","","images/rms/f42887_e_054.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","153","201890","133.9000005722046","","","images/rms/f42887_e_003.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","154","202472","50","","","images/rms/df42887_e_099.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","155","203095","68.10000038146973","","","images/rms/f42887_e_006.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","156","203669","48.10000038146973","","","images/rms/f42887_e_029.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","157","204302","47","","","images/rms/df42887_e_073.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","158","204931","114.69999980926514","","","images/rms/df42887_e_065.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","159","205518","74.60000038146973","","","images/rms/df42887_e_016.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","160","206100","40.30000019073486","","","images/rms/f42887_e_141.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","161","206702","80.30000019073486","","","images/rms/df42887_e_006.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","162","207355","137","","","images/rms/f42887_e_259.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","163","207955","93.90000057220459","","","images/rms/df42887_e_162.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","164","208718","202.69999980926514","","","images/rms/f42887_e_181.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","165","209331","67.10000038146973","","","images/rms/df42887_e_054.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","166","209880","40.70000076293945","","","images/rms/f42887_e_073.jpg","main_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","167","210499","72.5","","","images/rms/df42887_e_059.jpg","reversed_what","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","168","211344","268.19999980926514","","","images/rms/df42887_e_104.jpg","reversed_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","169","211915","62.89999961853027","","","images/rms/f42887_e_246.jpg","main_what","1","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","170","213044","439.29999923706055","","","images/rms/f42887_e_016.jpg","main_what","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","171","213737","71.10000038146973","","","images/rms/df42887_e_122.jpg","reversed_what","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","172","214326","51.89999961853027","","","images/rms/f42887_e_008.jpg","main_what","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","173","214908","77.5","","","images/rms/df42887_e_004.jpg","reversed_what","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","174","215530","70.90000057220459","","","images/rms/f42887_e_104.jpg","main_what","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","175","216202","145.5999994277954","","","images/rms/f42887_e_059.jpg","main_what","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","176","216797","101.59999942779541","","","images/rms/df42887_e_002.jpg","reversed_what","0","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"instructions","177","231336","14123","","","","","","","","","","","","","","",""
